asset_id,asset_name,asset_type,program_name,state,lga,community,developer,owner_operator,technology,status,capacity_kw,customers_served,financing_source,latitude,longitude,geocode_precision,coordinate_source,source_name,source_url,source_date_accessed,evidence_level,record_origin,notes,distributed_energy_class,classification_basis,classification_confidence
se4all-mg-63,Igu,mini_grid,,Abuja Federal Capital Territory,Bwari,Igu,,,solar,operational,3.0,,,9.2778417,7.4720825,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-1,Kigbe,mini_grid,Havenhill,Abuja Federal Capital Territory,Kwali,Kigbe,Havenhill,Havenhill,solar,operational,20.0,,Equity;Grant,8.6812,7.0945,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-22,Rije,mini_grid,USADF off-Grid Energy Program,Abuja Federal Capital Territory,Kuje,Rije,Ajima Farms & General Enterprises Nig. LTD,Ajima Farms & General Enterprises Nig. LTD,other,unknown,20.0,5555.0,,8.8840154,7.298122,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='None', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-39,Yebu,mini_grid,Havenhill,Abuja Federal Capital Territory,Kwali,Yebu,Havenhill,Havenhill,solar,operational,40.0,,Debt; Equity; Grant,8.683064,7.094908,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-50,Dakkiti,mini_grid,REA-REF,Adamawa,Dakkiti,Dakkiti,Leading Diagonal Engineering LTD,Leading Diagonal Engineering LTD,hybrid_mini_grid,under_construction,85.0,506.0,Equity;Grant,9.4274946,11.739378,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Under Construction', condition='Non Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-43,Akpabom,mini_grid,"GVE;Akwa Ibom Govt; REA-REF, All On, ElectriFI",Akwa Ibom,Onna,Akpabom,GVE& Akwa Ibom,GVE& Akwa Ibom,hybrid_mini_grid,operational,80.0,440.0,Debt; Equity;Grant,4.5847945,7.8351848,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
rea-eep-unizik,Nnamdi Azikiwe University Awka solar-hybrid plant,captive_off_grid,Energizing Education Programme Phase I,Anambra,Awka North,Awka campus,Rural Electrification Agency,Nnamdi Azikiwe University,solar_hybrid,commissioned,4400.0,,Federal Government of Nigeria,6.247709,7.116729,campus,OpenStreetMap university centroid; facility position within campus not identified,REA Energizing Education Programme sustainability release,https://www.dares.rea.gov.ng/energizing-education-rea-secures-universitys-commitment-to-eep-sustainability.html,2026-07-24,official_commissioned,official_supplement,REA page spells Awka as Akwa and lists 4.4 MW; current operating performance requires verification.,captive_institutional_off_grid,deterministic_asset_type_mapping,high
se4all-mg-14,Okpechalla/Atachile,mini_grid,BoI;UNDP;GVE,Anambra,Anambra West,Okpechalla/Atachile,GVE,GVE,solar,operational,27.0,100.0,Equity;Grant,6.5314661,6.7048381,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-18,Onono-Anam,mini_grid,BoI;UNDP;IEEE,Anambra,Anambra West,Onono-Anam,GVE,GVE,solar,operational,40.0,200.0,Debt;Grant,6.1986552,6.7637532,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-19,Onono-Anam Phase 2,mini_grid,BoI;UNDP;GVE,Anambra,Anambra West,Onono-Anam Phase 2,GVE,GVE,solar,operational,80.0,300.0,Equity;Grant,6.198,6.764,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
rea-eep-atbu,Abubakar Tafawa Balewa University solar-hybrid plant,captive_off_grid,Energizing Education Programme Phase I,Bauchi,Ganjuwa,Gubi Campus,Rural Electrification Agency,Abubakar Tafawa Balewa University,solar_hybrid,commissioned,1100.0,,Federal Government of Nigeria,10.75,9.82,campus,Published Gubi Campus coordinate; facility position within campus not identified,REA Energizing Education Programme sustainability release,https://www.dares.rea.gov.ng/energizing-education-rea-secures-universitys-commitment-to-eep-sustainability.html,2026-07-24,official_commissioned,official_supplement,REA lists 1.1 MW and states that seven Phase I solar-hybrid sites were commissioned; current operating performance requires verification.,captive_institutional_off_grid,deterministic_asset_type_mapping,high
se4all-mg-65,Bayan Fada,mini_grid,,Bauchi,Ningi,Bayan Fada,,,hybrid_mini_grid,operational,8.0,,,11.071636,9.572911,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-57,Gaza,mini_grid,,Bauchi,Shira,Gaza,,,solar,operational,18.0,,,11.4283874,10.1066208,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-61,Gololo,mini_grid,,Bauchi,Gamawa,Gololo,,,solar,operational,10.0,,,12.31586,10.6906,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-28,Tarmasuwa,mini_grid,REA,Bauchi,Gamawa,Tarmasuwa,,,solar,operational,10.0,,,11.797539,10.777483,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-42,Akipelai,mini_grid,REA-NEP-WB,Bayelsa,Ogbia,Akipelai,Renewvia Energy Cooperation,Renewvia Energy Cooperation,hybrid_mini_grid,operational,67.0,,Debt; Equity;Grant,4.6302917,6.3391667,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
se4all-mg-15,Oloibri,mini_grid,REA-NEP-WB,Bayelsa,Ogbia,Oloibri,Renewvia Energy Cooperation,Renewvia Energy Cooperation,hybrid_mini_grid,operational,67.0,,Debt; Equity; Grant,4.6701563,6.3132176,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Operational'",community_mini_grid,deterministic_asset_type_mapping,high
rea-eep-jostum,Joseph Sarwuan Tarka University Makurdi solar-hybrid plant,captive_off_grid,Energizing Education Programme Phase I,Benue,Makurdi,University campus,Rural Electrification Agency,Joseph Sarwuan Tarka University Makurdi,solar_hybrid,commissioned,8300.0,,Federal Government of Nigeria,7.784214,8.618417,campus,OpenStreetMap university centroid,REA Energizing Education Programme sustainability release,https://www.dares.rea.gov.ng/energizing-education-rea-secures-universitys-commitment-to-eep-sustainability.html,2026-07-24,official_commissioned,official_supplement,REA source uses the former name Federal University of Agriculture Makurdi and lists 8.3 MW; current operating performance requires verification.,captive_institutional_off_grid,deterministic_asset_type_mapping,high
se4all-mg-21,Pakau,mini_grid,,Benue,Kagarko,Pakau,,,solar,operational,24.0,,,7.31667,9.39678,exact_site,Nigeria SE4ALL source coordinates,Nigeria SE4ALL Open Data Portal,https://data.nigeriase4all.gov.ng/catalogue/#/dataset/1,2026-07-24,source_portal_record,nigeria_se4all,"raw status='Existing', condition='Not Operational'",community_mini_grid,deterministic_asset_type_mapping,high
