source_id,source_family,repository_scope,rights_status,license_or_terms,evidence_url,clearance_requirement
atlas_original,Infraxis Atlas contributors,"code; original documentation; original metadata",cleared,CC0-1.0,https://github.com/Diamonds10/nigeria-infrastructure-atlas/blob/main/LICENSE,"Retain attribution guidance and source-specific notices for third-party material. Proprietary Infraxis products are outside this repository and licence."
gem_trackers,Global Energy Monitor and GreenInfo Network mirrors,"GOGET; GGIT; GOIT; GOGPT; GSPT processed outputs",unresolved,"CC BY 4.0 is inferred for mirror-served files",https://globalenergymonitor.org/projects/,"Obtain or record written confirmation that the exact downloaded mirror files may be redistributed in a permanent archive."
nigeria_se4all,Nigeria SE4ALL Open Data Portal,"field polygons; gas infrastructure; mini-grid inventory; community survey",unresolved,"No explicit redistribution terms recorded",https://data.nigeriase4all.gov.ng/catalogue/,"Obtain published terms or written permission covering the exact WFS datasets and derived redistribution."
eia,United States Energy Information Administration,processed petroleum production series,cleared,U.S. government public data,https://www.eia.gov/opendata/,"Retain source attribution and API provenance."
opec,OPEC Annual Statistical Bulletin,processed reserves series,unresolved,"Public publication; no reusable-data licence recorded",https://www.opec.org/annual-statistical-bulletin.html,"Confirm permission to redistribute extracted tabular values from the cited editions."
world_bank_flaring,World Bank Global Gas Flaring Reduction Partnership,processed national flaring series,unresolved,"Described as open; exact licence evidence not captured",https://www.worldbank.org/en/programs/gasflaringreduction/global-flaring-data,"Record the exact dataset licence and required attribution for the downloaded release."
protected_planet,UNEP-WCMC and IUCN Protected Planet,processed WDPA protected-area outputs,unresolved,"Source-specific terms including non-commercial restrictions",https://www.protectedplanet.net/en/legal,"Confirm that permanent file redistribution is permitted and package the required WDPA notices and restrictions."
nosdra,NOSDRA via Nigerian Oil Spill Monitor,processed and public oil-spill records,unresolved,"Bulk download is supported; no formal open-data licence recorded",https://oilspillmonitor.ng/,"Obtain published terms or written permission for permanent redistribution of the bulk-derived files."
ucdp,Uppsala Conflict Data Program GED 26.1,"half-degree exposure grid; state/year summaries",cleared,CC BY 4.0,https://ucdp.uu.se/downloads/,"Include UCDP GED 26.1 attribution and the publications requested by UCDP."
openstreetmap,OpenStreetMap contributors,"roads; railways; stations; grid; substations; OSM-derived coordinates",cleared,ODbL-1.0,https://www.openstreetmap.org/copyright,"Include ODbL attribution and database/share-alike notices where applicable."
world_port_index,U.S. National Geospatial-Intelligence Agency World Port Index,processed port records,cleared,U.S. government public data,https://msi.nga.mil/Publications/WPI,"Retain source and edition provenance."
distributed_energy_supplement,"REA; NEP; DARES; ECREEE; NEMSA; beneficiary institutions","curated supplement; combined distributed-energy registry; standalone programme summaries",unresolved,Mixed public-source terms,https://github.com/Diamonds10/nigeria-infrastructure-atlas/blob/main/data/curated/07_renewables/verified_public_offgrid_supplement.csv,"Review and record redistribution authority for every source row or exclude uncleared records from the archival package."
worldpop_grid3,WorldPop and GRID3,processed 2025 administrative population totals,cleared,CC BY 4.0,https://data.worldpop.org/repo/wopr/NGA/population/v3.0/,"Retain dataset version and attribution."
world_bank_dre,World Bank Nigeria Distributed Renewable Energy Atlas,"population/access grid; major settlements; state summaries",cleared,CC BY 4.0,https://energydata.info/dataset/nigeria-distributed-renewable-energy-dre,"Retain dataset attribution and model limitations."
atlas_compilations,"Atlas and user-supplied compilations reconciled against public reporting","refineries; demand centres; selected curated corrections",cleared,"CC0-1.0 (original fact compilation; no single third-party database copied wholesale)",https://github.com/Diamonds10/nigeria-infrastructure-atlas/blob/main/docs/data_sources.md,"Retain the underlying public-reporting citations already recorded in docs/data_sources.md for each figure; coordinates whose docs/data_sources.md coordinate_source cites OpenStreetMap directly remain governed by the openstreetmap row's ODbL terms, not this row."
